Mes de defunción;Sexo;Edad;Total
mayo;Ambos sexos;De 40 a 44 años;38
mayo;Ambos sexos;De 45 a 49 años;40
mayo;Ambos sexos;De 50 a 54 años;34
mayo;Ambos sexos;De 55 a 59 años;42
mayo;Ambos sexos;De 60 a 64 años;26
mayo;Ambos sexos;De 65 a 69 años;20
mayo;Ambos sexos;De 70 a 74 años;22
mayo;Ambos sexos;De 75 a 79 años;11
mayo;Ambos sexos;De 80 a 84 años;25
mayo;Ambos sexos;De 85 a 89 años;14
mayo;Ambos sexos;De 90 a 94 años;6
mayo;Ambos sexos;De 95 años y más;0
mayo;Hombres;Todas las edades;246
mayo;Hombres;Menores de 15 años;1
mayo;Hombres;De 15 a 29 años;17
mayo;Hombres;De 30 a 39 años;25
mayo;Hombres;De 40 a 44 años;23
mayo;Hombres;De 45 a 49 años;34
mayo;Hombres;De 50 a 54 años;27
mayo;Hombres;De 55 a 59 años;33
mayo;Hombres;De 60 a 64 años;14
mayo;Hombres;De 65 a 69 años;15
mayo;Hombres;De 70 a 74 años;15
mayo;Hombres;De 75 a 79 años;7
mayo;Hombres;De 80 a 84 años;19
mayo;Hombres;De 85 a 89 años;13
mayo;Hombres;De 90 a 94 años;3
mayo;Hombres;De 95 años y más;0
mayo;Mujeres;Todas las edades;90
mayo;Mujeres;Menores de 15 años;0
mayo;Mujeres;De 15 a 29 años;8
mayo;Mujeres;De 30 a 39 años;7
mayo;Mujeres;De 40 a 44 años;15
mayo;Mujeres;De 45 a 49 años;6
mayo;Mujeres;De 50 a 54 años;7
mayo;Mujeres;De 55 a 59 años;9
mayo;Mujeres;De 60 a 64 años;12
mayo;Mujeres;De 65 a 69 años;5
mayo;Mujeres;De 70 a 74 años;7
mayo;Mujeres;De 75 a 79 años;4
mayo;Mujeres;De 80 a 84 años;6
mayo;Mujeres;De 85 a 89 años;1
mayo;Mujeres;De 90 a 94 años;3
mayo;Mujeres;De 95 años y más;0
junio;Ambos sexos;Todas las edades;340
junio;Ambos sexos;Menores de 15 años;1
junio;Ambos sexos;De 15 a 29 años;31
