Nacional;Comunidades y Ciudades Autónomas;Sexo;Edad;Total
Total Nacional;03 Asturias, Principado de;Mujeres;De 50 a 54 años;3
Total Nacional;03 Asturias, Principado de;Mujeres;De 55 a 59 años;4
Total Nacional;03 Asturias, Principado de;Mujeres;De 60 a 64 años;4
Total Nacional;03 Asturias, Principado de;Mujeres;De 65 a 69 años;0
Total Nacional;03 Asturias, Principado de;Mujeres;De 70 a 74 años;1
Total Nacional;03 Asturias, Principado de;Mujeres;De 75 a 79 años;4
Total Nacional;03 Asturias, Principado de;Mujeres;De 80 a 84 años;1
Total Nacional;03 Asturias, Principado de;Mujeres;De 85 a 89 años;3
Total Nacional;03 Asturias, Principado de;Mujeres;De 90 a 94 años;2
Total Nacional;03 Asturias, Principado de;Mujeres;De 95 años y más;0
Total Nacional;04 Balears, Illes;Ambos sexos;Todas las edades;97
Total Nacional;04 Balears, Illes;Ambos sexos;Menores de 15 años;1
Total Nacional;04 Balears, Illes;Ambos sexos;De 15 a 29 años;8
Total Nacional;04 Balears, Illes;Ambos sexos;De 30 a 39 años;13
Total Nacional;04 Balears, Illes;Ambos sexos;De 40 a 44 años;11
Total Nacional;04 Balears, Illes;Ambos sexos;De 45 a 49 años;13
Total Nacional;04 Balears, Illes;Ambos sexos;De 50 a 54 años;13
Total Nacional;04 Balears, Illes;Ambos sexos;De 55 a 59 años;9
Total Nacional;04 Balears, Illes;Ambos sexos;De 60 a 64 años;5
Total Nacional;04 Balears, Illes;Ambos sexos;De 65 a 69 años;5
Total Nacional;04 Balears, Illes;Ambos sexos;De 70 a 74 años;4
Total Nacional;04 Balears, Illes;Ambos sexos;De 75 a 79 años;8
Total Nacional;04 Balears, Illes;Ambos sexos;De 80 a 84 años;6
Total Nacional;04 Balears, Illes;Ambos sexos;De 85 a 89 años;0
Total Nacional;04 Balears, Illes;Ambos sexos;De 90 a 94 años;1
Total Nacional;04 Balears, Illes;Ambos sexos;De 95 años y más;0
Total Nacional;04 Balears, Illes;Hombres;Todas las edades;71
Total Nacional;04 Balears, Illes;Hombres;Menores de 15 años;1
Total Nacional;04 Balears, Illes;Hombres;De 15 a 29 años;7
Total Nacional;04 Balears, Illes;Hombres;De 30 a 39 años;11
Total Nacional;04 Balears, Illes;Hombres;De 40 a 44 años;9
Total Nacional;04 Balears, Illes;Hombres;De 45 a 49 años;11
Total Nacional;04 Balears, Illes;Hombres;De 50 a 54 años;8
Total Nacional;04 Balears, Illes;Hombres;De 55 a 59 años;7
Total Nacional;04 Balears, Illes;Hombres;De 60 a 64 años;2
Total Nacional;04 Balears, Illes;Hombres;De 65 a 69 años;2
Total Nacional;04 Balears, Illes;Hombres;De 70 a 74 años;1
Total Nacional;04 Balears, Illes;Hombres;De 75 a 79 años;6
Total Nacional;04 Balears, Illes;Hombres;De 80 a 84 años;5
Total Nacional;04 Balears, Illes;Hombres;De 85 a 89 años;0
Total Nacional;04 Balears, Illes;Hombres;De 90 a 94 años;1
Total Nacional;04 Balears, Illes;Hombres;De 95 años y más;0
Total Nacional;04 Balears, Illes;Mujeres;Todas las edades;26
Total Nacional;04 Balears, Illes;Mujeres;Menores de 15 años;0
Total Nacional;04 Balears, Illes;Mujeres;De 15 a 29 años;1
Total Nacional;04 Balears, Illes;Mujeres;De 30 a 39 años;2
Total Nacional;04 Balears, Illes;Mujeres;De 40 a 44 años;2
Total Nacional;04 Balears, Illes;Mujeres;De 45 a 49 años;2
Total Nacional;04 Balears, Illes;Mujeres;De 50 a 54 años;5
Total Nacional;04 Balears, Illes;Mujeres;De 55 a 59 años;2
Total Nacional;04 Balears, Illes;Mujeres;De 60 a 64 años;3
Total Nacional;04 Balears, Illes;Mujeres;De 65 a 69 años;3
Total Nacional;04 Balears, Illes;Mujeres;De 70 a 74 años;3
Total Nacional;04 Balears, Illes;Mujeres;De 75 a 79 años;2
Total Nacional;04 Balears, Illes;Mujeres;De 80 a 84 años;1
Total Nacional;04 Balears, Illes;Mujeres;De 85 a 89 años;0
Total Nacional;04 Balears, Illes;Mujeres;De 90 a 94 años;0
Total Nacional;04 Balears, Illes;Mujeres;De 95 años y más;0
Total Nacional;05 Canarias;Ambos sexos;Todas las edades;197
Total Nacional;05 Canarias;Ambos sexos;Menores de 15 años;0
Total Nacional;05 Canarias;Ambos sexos;De 15 a 29 años;20
Total Nacional;05 Canarias;Ambos sexos;De 30 a 39 años;14
