Nacional;Comunidades y Ciudades Autónomas;Sexo;Edad;Total
Total Nacional;06 Cantabria;Mujeres;De 30 a 39 años;0
Total Nacional;06 Cantabria;Mujeres;De 40 a 44 años;0
Total Nacional;06 Cantabria;Mujeres;De 45 a 49 años;1
Total Nacional;06 Cantabria;Mujeres;De 50 a 54 años;0
Total Nacional;06 Cantabria;Mujeres;De 55 a 59 años;2
Total Nacional;06 Cantabria;Mujeres;De 60 a 64 años;0
Total Nacional;06 Cantabria;Mujeres;De 65 a 69 años;0
Total Nacional;06 Cantabria;Mujeres;De 70 a 74 años;1
Total Nacional;06 Cantabria;Mujeres;De 75 a 79 años;1
Total Nacional;06 Cantabria;Mujeres;De 80 a 84 años;0
Total Nacional;06 Cantabria;Mujeres;De 85 a 89 años;0
Total Nacional;06 Cantabria;Mujeres;De 90 a 94 años;0
Total Nacional;06 Cantabria;Mujeres;De 95 años y más;0
Total Nacional;07 Castilla y León;Ambos sexos;Todas las edades;213
Total Nacional;07 Castilla y León;Ambos sexos;Menores de 15 años;0
Total Nacional;07 Castilla y León;Ambos sexos;De 15 a 29 años;18
Total Nacional;07 Castilla y León;Ambos sexos;De 30 a 39 años;12
Total Nacional;07 Castilla y León;Ambos sexos;De 40 a 44 años;16
Total Nacional;07 Castilla y León;Ambos sexos;De 45 a 49 años;21
Total Nacional;07 Castilla y León;Ambos sexos;De 50 a 54 años;19
Total Nacional;07 Castilla y León;Ambos sexos;De 55 a 59 años;25
Total Nacional;07 Castilla y León;Ambos sexos;De 60 a 64 años;17
Total Nacional;07 Castilla y León;Ambos sexos;De 65 a 69 años;17
Total Nacional;07 Castilla y León;Ambos sexos;De 70 a 74 años;17
Total Nacional;07 Castilla y León;Ambos sexos;De 75 a 79 años;12
Total Nacional;07 Castilla y León;Ambos sexos;De 80 a 84 años;16
Total Nacional;07 Castilla y León;Ambos sexos;De 85 a 89 años;14
Total Nacional;07 Castilla y León;Ambos sexos;De 90 a 94 años;7
