Mes de defunción;Sexo;Edad;Total
marzo;Hombres;De 65 a 69 años;29
marzo;Hombres;De 70 a 74 años;19
marzo;Hombres;De 75 a 79 años;11
marzo;Hombres;De 80 a 84 años;14
marzo;Hombres;De 85 a 89 años;13
marzo;Hombres;De 90 a 94 años;4
marzo;Hombres;De 95 años y más;1
marzo;Mujeres;Todas las edades;87
marzo;Mujeres;Menores de 15 años;0
marzo;Mujeres;De 15 a 29 años;14
marzo;Mujeres;De 30 a 39 años;4
marzo;Mujeres;De 40 a 44 años;6
marzo;Mujeres;De 45 a 49 años;6
marzo;Mujeres;De 50 a 54 años;5
marzo;Mujeres;De 55 a 59 años;17
marzo;Mujeres;De 60 a 64 años;8
marzo;Mujeres;De 65 a 69 años;6
marzo;Mujeres;De 70 a 74 años;6
marzo;Mujeres;De 75 a 79 años;8
marzo;Mujeres;De 80 a 84 años;2
marzo;Mujeres;De 85 a 89 años;4
marzo;Mujeres;De 90 a 94 años;1
marzo;Mujeres;De 95 años y más;0
abril;Ambos sexos;Todas las edades;348
abril;Ambos sexos;Menores de 15 años;0
abril;Ambos sexos;De 15 a 29 años;30
abril;Ambos sexos;De 30 a 39 años;48
abril;Ambos sexos;De 40 a 44 años;33
abril;Ambos sexos;De 45 a 49 años;36
abril;Ambos sexos;De 50 a 54 años;28
abril;Ambos sexos;De 55 a 59 años;46
abril;Ambos sexos;De 60 a 64 años;29
abril;Ambos sexos;De 65 a 69 años;19
abril;Ambos sexos;De 70 a 74 años;21
abril;Ambos sexos;De 75 a 79 años;19
abril;Ambos sexos;De 80 a 84 años;15
abril;Ambos sexos;De 85 a 89 años;12
abril;Ambos sexos;De 90 a 94 años;11
abril;Ambos sexos;De 95 años y más;1
abril;Hombres;Todas las edades;263
abril;Hombres;Menores de 15 años;0
abril;Hombres;De 15 a 29 años;21
abril;Hombres;De 30 a 39 años;34
abril;Hombres;De 40 a 44 años;26
abril;Hombres;De 45 a 49 años;22
abril;Hombres;De 50 a 54 años;25
abril;Hombres;De 55 a 59 años;37
abril;Hombres;De 60 a 64 años;20
abril;Hombres;De 65 a 69 años;15
abril;Hombres;De 70 a 74 años;16
abril;Hombres;De 75 a 79 años;17
abril;Hombres;De 80 a 84 años;12
abril;Hombres;De 85 a 89 años;9
abril;Hombres;De 90 a 94 años;9
abril;Hombres;De 95 años y más;0
abril;Mujeres;Todas las edades;85
abril;Mujeres;Menores de 15 años;0
abril;Mujeres;De 15 a 29 años;9
abril;Mujeres;De 30 a 39 años;14
abril;Mujeres;De 40 a 44 años;7
abril;Mujeres;De 45 a 49 años;14
abril;Mujeres;De 50 a 54 años;3
abril;Mujeres;De 55 a 59 años;9
abril;Mujeres;De 60 a 64 años;9
abril;Mujeres;De 65 a 69 años;4
abril;Mujeres;De 70 a 74 años;5
abril;Mujeres;De 75 a 79 años;2
abril;Mujeres;De 80 a 84 años;3
abril;Mujeres;De 85 a 89 años;3
abril;Mujeres;De 90 a 94 años;2
abril;Mujeres;De 95 años y más;1
mayo;Ambos sexos;Todas las edades;377
mayo;Ambos sexos;Menores de 15 años;2
mayo;Ambos sexos;De 15 a 29 años;29
mayo;Ambos sexos;De 30 a 39 años;33
mayo;Ambos sexos;De 40 a 44 años;36
mayo;Ambos sexos;De 45 a 49 años;43
mayo;Ambos sexos;De 50 a 54 años;48
mayo;Ambos sexos;De 55 a 59 años;33
mayo;Ambos sexos;De 60 a 64 años;36
mayo;Ambos sexos;De 65 a 69 años;27
mayo;Ambos sexos;De 70 a 74 años;24
mayo;Ambos sexos;De 75 a 79 años;25
mayo;Ambos sexos;De 80 a 84 años;23
mayo;Ambos sexos;De 85 a 89 años;12
mayo;Ambos sexos;De 90 a 94 años;5
mayo;Ambos sexos;De 95 años y más;1
mayo;Hombres;Todas las edades;281
mayo;Hombres;Menores de 15 años;0
mayo;Hombres;De 15 a 29 años;18
mayo;Hombres;De 30 a 39 años;25
mayo;Hombres;De 40 a 44 años;25
mayo;Hombres;De 45 a 49 años;38
mayo;Hombres;De 50 a 54 años;35
mayo;Hombres;De 55 a 59 años;24
mayo;Hombres;De 60 a 64 años;27
mayo;Hombres;De 65 a 69 años;21
mayo;Hombres;De 70 a 74 años;20
mayo;Hombres;De 75 a 79 años;15
mayo;Hombres;De 80 a 84 años;19
mayo;Hombres;De 85 a 89 años;10
mayo;Hombres;De 90 a 94 años;4
mayo;Hombres;De 95 años y más;0
mayo;Mujeres;Todas las edades;96
mayo;Mujeres;Menores de 15 años;2
mayo;Mujeres;De 15 a 29 años;11
mayo;Mujeres;De 30 a 39 años;8
mayo;Mujeres;De 40 a 44 años;11
mayo;Mujeres;De 45 a 49 años;5
mayo;Mujeres;De 50 a 54 años;13
mayo;Mujeres;De 55 a 59 años;9
mayo;Mujeres;De 60 a 64 años;9
mayo;Mujeres;De 65 a 69 años;6
mayo;Mujeres;De 70 a 74 años;4
mayo;Mujeres;De 75 a 79 años;10
mayo;Mujeres;De 80 a 84 años;4
mayo;Mujeres;De 85 a 89 años;2
mayo;Mujeres;De 90 a 94 años;1
mayo;Mujeres;De 95 años y más;1
junio;Ambos sexos;Todas las edades;357
junio;Ambos sexos;Menores de 15 años;0
junio;Ambos sexos;De 15 a 29 años;29
junio;Ambos sexos;De 30 a 39 años;34
junio;Ambos sexos;De 40 a 44 años;23
junio;Ambos sexos;De 45 a 49 años;37
junio;Ambos sexos;De 50 a 54 años;37
junio;Ambos sexos;De 55 a 59 años;47
junio;Ambos sexos;De 60 a 64 años;36
junio;Ambos sexos;De 65 a 69 años;24
junio;Ambos sexos;De 70 a 74 años;18
junio;Ambos sexos;De 75 a 79 años;25
junio;Ambos sexos;De 80 a 84 años;26
junio;Ambos sexos;De 85 a 89 años;11
junio;Ambos sexos;De 90 a 94 años;10
junio;Ambos sexos;De 95 años y más;0
junio;Hombres;Todas las edades;259
junio;Hombres;Menores de 15 años;0
junio;Hombres;De 15 a 29 años;24
junio;Hombres;De 30 a 39 años;23
junio;Hombres;De 40 a 44 años;19
junio;Hombres;De 45 a 49 años;29
junio;Hombres;De 50 a 54 años;26
junio;Hombres;De 55 a 59 años;36
junio;Hombres;De 60 a 64 años;26
junio;Hombres;De 65 a 69 años;17
junio;Hombres;De 70 a 74 años;12
junio;Hombres;De 75 a 79 años;13
junio;Hombres;De 80 a 84 años;16
junio;Hombres;De 85 a 89 años;8
junio;Hombres;De 90 a 94 años;10
junio;Hombres;De 95 años y más;0
junio;Mujeres;Todas las edades;98
junio;Mujeres;Menores de 15 años;0
junio;Mujeres;De 15 a 29 años;5
junio;Mujeres;De 30 a 39 años;11
junio;Mujeres;De 40 a 44 años;4
junio;Mujeres;De 45 a 49 años;8
junio;Mujeres;De 50 a 54 años;11
junio;Mujeres;De 55 a 59 años;11
junio;Mujeres;De 60 a 64 años;10
junio;Mujeres;De 65 a 69 años;7
junio;Mujeres;De 70 a 74 años;6
junio;Mujeres;De 75 a 79 años;12
junio;Mujeres;De 80 a 84 años;10
junio;Mujeres;De 85 a 89 años;3
junio;Mujeres;De 90 a 94 años;0
junio;Mujeres;De 95 años y más;0
julio;Ambos sexos;Todas las edades;389
julio;Ambos sexos;Menores de 15 años;0
julio;Ambos sexos;De 15 a 29 años;36
julio;Ambos sexos;De 30 a 39 años;43
julio;Ambos sexos;De 40 a 44 años;35
julio;Ambos sexos;De 45 a 49 años;44
julio;Ambos sexos;De 50 a 54 años;41
julio;Ambos sexos;De 55 a 59 años;40
julio;Ambos sexos;De 60 a 64 años;25
julio;Ambos sexos;De 65 a 69 años;22
julio;Ambos sexos;De 70 a 74 años;12
julio;Ambos sexos;De 75 a 79 años;26
julio;Ambos sexos;De 80 a 84 años;27
julio;Ambos sexos;De 85 a 89 años;26
julio;Ambos sexos;De 90 a 94 años;10
julio;Ambos sexos;De 95 años y más;2
julio;Hombres;Todas las edades;286
julio;Hombres;Menores de 15 años;0
julio;Hombres;De 15 a 29 años;23
julio;Hombres;De 30 a 39 años;36
julio;Hombres;De 40 a 44 años;29
julio;Hombres;De 45 a 49 años;33
julio;Hombres;De 50 a 54 años;25
julio;Hombres;De 55 a 59 años;29
julio;Hombres;De 60 a 64 años;20
julio;Hombres;De 65 a 69 años;14
julio;Hombres;De 70 a 74 años;9
julio;Hombres;De 75 a 79 años;18
julio;Hombres;De 80 a 84 años;18
julio;Hombres;De 85 a 89 años;24
julio;Hombres;De 90 a 94 años;7
julio;Hombres;De 95 años y más;1
julio;Mujeres;Todas las edades;103
julio;Mujeres;Menores de 15 años;0
julio;Mujeres;De 15 a 29 años;13
julio;Mujeres;De 30 a 39 años;7
julio;Mujeres;De 40 a 44 años;6
julio;Mujeres;De 45 a 49 años;11
julio;Mujeres;De 50 a 54 años;16
julio;Mujeres;De 55 a 59 años;11
julio;Mujeres;De 60 a 64 años;5
julio;Mujeres;De 65 a 69 años;8
julio;Mujeres;De 70 a 74 años;3
julio;Mujeres;De 75 a 79 años;8
julio;Mujeres;De 80 a 84 años;9
julio;Mujeres;De 85 a 89 años;2
julio;Mujeres;De 90 a 94 años;3
julio;Mujeres;De 95 años y más;1
agosto;Ambos sexos;Todas las edades;395
agosto;Ambos sexos;Menores de 15 años;0
agosto;Ambos sexos;De 15 a 29 años;24
agosto;Ambos sexos;De 30 a 39 años;51
agosto;Ambos sexos;De 40 a 44 años;36
agosto;Ambos sexos;De 45 a 49 años;46
agosto;Ambos sexos;De 50 a 54 años;38
agosto;Ambos sexos;De 55 a 59 años;45
agosto;Ambos sexos;De 60 a 64 años;46
agosto;Ambos sexos;De 65 a 69 años;20
agosto;Ambos sexos;De 70 a 74 años;15
agosto;Ambos sexos;De 75 a 79 años;22
agosto;Ambos sexos;De 80 a 84 años;20
agosto;Ambos sexos;De 85 a 89 años;18
agosto;Ambos sexos;De 90 a 94 años;12
agosto;Ambos sexos;De 95 años y más;2
agosto;Hombres;Todas las edades;293
agosto;Hombres;Menores de 15 años;0
agosto;Hombres;De 15 a 29 años;20
agosto;Hombres;De 30 a 39 años;34
agosto;Hombres;De 40 a 44 años;23
agosto;Hombres;De 45 a 49 años;36
agosto;Hombres;De 50 a 54 años;29
agosto;Hombres;De 55 a 59 años;33
agosto;Hombres;De 60 a 64 años;33
agosto;Hombres;De 65 a 69 años;12
agosto;Hombres;De 70 a 74 años;11
agosto;Hombres;De 75 a 79 años;17
agosto;Hombres;De 80 a 84 años;17
agosto;Hombres;De 85 a 89 años;16
agosto;Hombres;De 90 a 94 años;10
agosto;Hombres;De 95 años y más;2
agosto;Mujeres;Todas las edades;102
agosto;Mujeres;Menores de 15 años;0
agosto;Mujeres;De 15 a 29 años;4
agosto;Mujeres;De 30 a 39 años;17
agosto;Mujeres;De 40 a 44 años;13
agosto;Mujeres;De 45 a 49 años;10
agosto;Mujeres;De 50 a 54 años;9
agosto;Mujeres;De 55 a 59 años;12
agosto;Mujeres;De 60 a 64 años;13
agosto;Mujeres;De 65 a 69 años;8
agosto;Mujeres;De 70 a 74 años;4
agosto;Mujeres;De 75 a 79 años;5
agosto;Mujeres;De 80 a 84 años;3
agosto;Mujeres;De 85 a 89 años;2
agosto;Mujeres;De 90 a 94 años;2
agosto;Mujeres;De 95 años y más;0
septiembre;Ambos sexos;Todas las edades;314
septiembre;Ambos sexos;Menores de 15 años;4
septiembre;Ambos sexos;De 15 a 29 años;27
septiembre;Ambos sexos;De 30 a 39 años;41
septiembre;Ambos sexos;De 40 a 44 años;17
septiembre;Ambos sexos;De 45 a 49 años;32
septiembre;Ambos sexos;De 50 a 54 años;40
septiembre;Ambos sexos;De 55 a 59 años;33
septiembre;Ambos sexos;De 60 a 64 años;27
septiembre;Ambos sexos;De 65 a 69 años;24
septiembre;Ambos sexos;De 70 a 74 años;25
septiembre;Ambos sexos;De 75 a 79 años;12
septiembre;Ambos sexos;De 80 a 84 años;12
septiembre;Ambos sexos;De 85 a 89 años;12
septiembre;Ambos sexos;De 90 a 94 años;4
septiembre;Ambos sexos;De 95 años y más;4
septiembre;Hombres;Todas las edades;236
septiembre;Hombres;Menores de 15 años;2
septiembre;Hombres;De 15 a 29 años;22
septiembre;Hombres;De 30 a 39 años;25
septiembre;Hombres;De 40 a 44 años;12
septiembre;Hombres;De 45 a 49 años;26
septiembre;Hombres;De 50 a 54 años;31
septiembre;Hombres;De 55 a 59 años;27
septiembre;Hombres;De 60 a 64 años;21
septiembre;Hombres;De 65 a 69 años;19
septiembre;Hombres;De 70 a 74 años;19
septiembre;Hombres;De 75 a 79 años;7
septiembre;Hombres;De 80 a 84 años;9
septiembre;Hombres;De 85 a 89 años;8
septiembre;Hombres;De 90 a 94 años;4
septiembre;Hombres;De 95 años y más;4
septiembre;Mujeres;Todas las edades;78
septiembre;Mujeres;Menores de 15 años;2
septiembre;Mujeres;De 15 a 29 años;5
